982,3981
983,3399
979,0438
979,154
983,1446
981,6181
982,8922
981,9182
984,7859
982,266
982,2888
981,9481
982,3064
977,5779
982,5647
980,4636
976,0131
978,5325
983,7736
984,5634
980,6675
985,9711
979,861
981,8234
981,8079
981,2869
980,6151
980,1228
977,0912
977,7906
980,8131
979,4864
980,2939
982,9859
979,0984
981,7965
981,4219
982,131
980,6241
980,875
978,2986
980,2885
982,9886
982,0181
981,2627
979,9307
983,5534
980,387
978,409
983,5023
982,845
978,1565
980,4546
982,2202
978,9898
978,7293
979,7297
984,4984
981,7391
981,6387
981,4162
981,7052
977,3058
980,6333
983,7975
983,3004
982,8849
981,0077
980,087
985,0291
979,579
981,2263
976,9939
979,4735
984,0194
979,4124
980,4206
980,6956
978,4883
979,518
981,6878
979,03
979,3673
979,2765
981,9136
980,1901
980,3977
980,5035
980,0862
981,2528
982,7104
979,3233
981,6596
983,4791
982,0478
978,6013
978,8449
978,3342
981,089
983,3025
