4,1809
8,4687
8,4099
5,0509
5,5039
8,79
9,7846
9,9465
4,1043
5,0073
9,1976
9,6051
9,6836
8,188
5,2348
9,7811
4,4071
9,6217
4,1873
9,7741
9,1619
5,1461
9,1077
4,4574
5,2993
4,1487
4,3129
4,0886
8,9367
9,3506
5,4504
9,7831
9,8072
8,7468
5,1004
4,1877
8,9373
4,9925
9,4191
4,8341
4,2038
9,4904
7,8774
4,4526
4,56
8,9388
9,9052
9,5654
9,7601
9,4697
4,9105
4,2134
4,925
9,3431
4,1248
8,5213
4,9109
5,4748
9,8232
5,172
7,0928
7,0962
9,2868
4,6663
4,7235
8,5167
9,4733
9,4462
4,0757
4,2822
9,0705
4,3029
9,973
4,9022
5,3569
9,4227
4,339
6,8696
9,2779
4,2483
9,8842
4,6791
8,2213
9,9258
9,9677
6,4342
9,3454
4,4564
6,1597
4,1863
8,9869
4,6158
8,86
4,1963
9,8154
4,4126
9,0868
9,894
4,0551
6,2217
