2,6821
7,2259
7,1101
6,5364
7,0762
2,2061
7,5477
4,6895
2,4928
2,0295
2,3307
7,6502
3,0451
2,106
6,9676
2,3608
2,5904
2,776
2,0469
6,9953
7,661
7,9251
2,436
3,3643
2,6845
2,0548
2,7346
2,5825
2,0881
7,511
2,05
7,7293
6,9315
6,5322
2,7569
4,2314
2,1115
7,7947
7,9745
7,3894
2,1346
7,5244
6,696
4,68
3,4561
2,387
7,3714
7,7234
2,2221
6,5028
2,6429
3,722
7,7381
2,4841
2,106
7,7705
7,529
7,3829
7,0654
2,7948
7,6691
7,7843
2,39
3,0471
7,0984
2,3287
7,116
6,413
2,8895
7,6181
2,209
6,6585
7,5025
2,0679
3,5244
7,4082
5,7287
2,3761
2,8058
7,3792
2,329
7,373
5,6029
7,9021
2,8138
6,1505
7,639
7,795
7,2111
5,3865
4,0925
4,3644
2,9693
2,6856
3,3746
7,689
5,5794
7,5217
3,2612
3,1285
