4,0151
9,2552
9,5925
4,7789
6,0719
4,8095
4,5367
9,3565
5,6082
8,999
9,7386
9,6194
9,537
8,8668
4,9659
4,6333
9,9907
4,6757
8,7745
6,6019
8,776
5,0147
5,3825
9,4093
8,926
9,1912
8,9629
4,1742
4,3234
9,652
8,956
8,7988
8,361
4,3359
7,2504
9,9836
5,3271
4,9716
5,3737
9,8519
9,8958
9,9031
4,5738
9,9611
9,5231
4,1164
9,5281
8,9552
9,9678
4,7079
4,7273
4,3475
4,2741
4,1844
5,1399
9,8159
9,1553
9,3951
4,2383
8,7186
9,605
4,3117
6,3894
9,9839
4,151
4,441
5,3683
9,3328
5,1853
4,1022
4,6425
9,6636
5,0742
4,6423
9,8353
4,4491
4,4829
9,9042
4,1449
4,4428
5,5097
7,9528
4,6641
8,1051
4,7675
9,2165
8,9665
4,0889
9,5945
8,3675
9,5846
8,8503
9,3264
7,2719
4,1971
8,281
9,8351
4,5287
4,5257
6,7504
