924,3624
927,4358
924,4703
921,7991
924,9314
922,1987
925,608
920,8786
923,9901
921,2869
923,6845
927,739
921,2565
926,1291
924,9911
926,3332
923,698
924,0121
926,5041
924,802
925,5817
925,3746
929,0854
924,0805
925,4205
926,5742
927,035
923,6517
924,2068
926,8585
923,6771
924,4397
924,7795
925,6024
923,4849
925,1232
921,1846
927,86
927,2739
925,5029
925,1794
923,5638
923,5545
925,2865
922,072
923,6146
924,3326
920,0866
926,1478
922,8104
922,7899
926,4887
928,194
925,9676
922,4583
924,3649
927,8613
926,6072
926,9742
925,9368
925,4507
923,4659
923,9592
923,4472
925,8429
925,8282
924,1781
922,9127
927,9212
924,3251
927,0049
924,8992
924,1858
926,7983
922,1717
925,1927
928,4056
924,674
926,7944
926,861
925,3253
928,5919
925,1943
924,004
922,3904
923,9749
922,6026
926,7418
925,8335
928,3129
929,9528
927,4793
923,734
924,2996
926,3305
925,1321
923,9454
923,636
925,3643
925,7344
